CountryName,HDICategory,HDIScore ,Life expectancy at birth,Expected years of schooling ,Mean years of schooling,Gross national income (GNI) per capita,CountryId
Sri Lanka,HIGH HUMAN DEVELOPMENT,0.757,74.9,13.7,10.8,9779,144
Sudan,LOW HUMAN DEVELOPMENT,0.479,63.5,7,3.1,3809,729
Suriname,HIGH HUMAN DEVELOPMENT,0.714,71.1,12.7,7.7,15617,740
Swaziland,LOW HUMAN DEVELOPMENT,0.531,49,11.3,7.1,5542,748
Sweden,VERY HIGH HUMAN DEVELOPMENT,0.907,82.2,15.8,12.1,45636,752
Switzerland,VERY HIGH HUMAN DEVELOPMENT,0.93,83,15.8,12.8,56431,756
Syrian Arab Republic,MEDIUM HUMAN DEVELOPMENT,0.594,69.6,12.3,6.3,2728,760
Tajikistan,MEDIUM HUMAN DEVELOPMENT,0.624,69.4,11.2,10.4,2517,762
Tanzania (United Republic of),LOW HUMAN DEVELOPMENT,0.521,65,9.2,5.1,2411,834
Thailand,HIGH HUMAN DEVELOPMENT,0.726,74.4,13.5,7.3,13323,764
The former Yugoslav Republic of Macedonia,HIGH HUMAN DEVELOPMENT,0.747,75.4,13.4,9.3,11780,807
Timor-Leste,MEDIUM HUMAN DEVELOPMENT,0.595,68.2,11.7,4.4,5363,626
Togo,LOW HUMAN DEVELOPMENT,0.484,59.7,12.2,4.5,1228,768
Tonga,HIGH HUMAN DEVELOPMENT,0.717,72.8,14.7,10.7,5069,776
Trinidad and Tobago,HIGH HUMAN DEVELOPMENT,0.772,70.4,12.3,10.9,26090,780
Tunisia,HIGH HUMAN DEVELOPMENT,0.721,74.8,14.6,6.8,10404,788
Turkey,HIGH HUMAN DEVELOPMENT,0.761,75.3,14.5,7.6,18677,792
Turkmenistan,MEDIUM HUMAN DEVELOPMENT,0.688,65.6,10.8,9.9,13066,795
Uganda,LOW HUMAN DEVELOPMENT,0.483,58.5,9.8,5.4,1613,800
Ukraine,HIGH HUMAN DEVELOPMENT,0.747,71,15.1,11.3,8178,804
United Arab Emirates,VERY HIGH HUMAN DEVELOPMENT,0.835,77,13.3,9.5,60868,784
United Kingdom,VERY HIGH HUMAN DEVELOPMENT,0.907,80.7,16.2,13.1,39267,826
United States,VERY HIGH HUMAN DEVELOPMENT,0.915,79.1,16.5,12.9,52947,840
Uruguay,HIGH HUMAN DEVELOPMENT,0.793,77.2,15.5,8.5,19283,858
Uzbekistan,MEDIUM HUMAN DEVELOPMENT,0.675,68.4,11.5,10.9,5567,860
Vanuatu,MEDIUM HUMAN DEVELOPMENT,0.594,71.9,10.6,6.8,2803,548
Venezuela (Bolivarian Republic of),HIGH HUMAN DEVELOPMENT,0.762,74.2,14.2,8.9,16159,862
Viet Nam,MEDIUM HUMAN DEVELOPMENT,0.666,75.8,11.9,7.5,5092,704
Yemen,LOW HUMAN DEVELOPMENT,0.498,63.8,9.2,2.6,3519,887
Zambia,MEDIUM HUMAN DEVELOPMENT,0.586,60.1,13.5,6.6,3734,894
Zimbabwe,LOW HUMAN DEVELOPMENT,0.509,57.5,10.9,7.3,1615,716
