scode,country,year,State Fragility Index,CountryId
TUR,Turkey,2015,9,792
TKM,Turkmenistan,2015,9,795
UGA,Uganda,2015,17,800
UKR,Ukraine,2015,9,804
UAE,United Arab Emirates,2015,4,784
UKG,United Kingdom,2015,0,826
USA,United States,2015,3,840
URU,Uruguay,2015,2,858
UZB,Uzbekistan,2015,12,860
VEN,Venezuela,2015,11,862
VIE,Vietnam,2015,7,704
YEM,Yemen,2015,21,887
ZAM,Zambia,2015,12,894
ZIM,Zimbabwe,2015,17,716
